# bM_z1 bM_z2 bM_z3 bM_1 sM_z1 sM_z2 sM_z3 sM_1 corr_len alpha_SZ_0 X_comp0_z logc opt_comp1_0 z_offset_0 alpha_X_z opt_comp0_0 A_7 sigma_z A_5 A_4 A_3 A_2 A_1 A_0 A_inf C_lam SZ_comp0_lam delta_shear_bias alpha_NLshear A_9 X_comp1_lam Blambda A_lam SZ_comp1_0 SigmaCrit SZ_comp0_z A_8 SZ_comp0_0 alpha_SZ_z X_comp0_lam alpha_SZ_lam opt_comp0_lam opt_comp1_lam A_6 Sigma_crit_78 X_comp1_0 B_lam opt_comp0_z X_comp0_0 lnsigma_lam opt_comp1_z z_offset_z alpha_opt_z alpha_X_0 SZ_comp1_lam X_comp1_z sigma_0 alpha_opt_0 kappa_SPT alpha_opt_lam alpha_X_lam Sigma_crit_25 Sigma_crit_47 SZ_comp1_z 
-2.621559535650341485e-02 -3.203528355762744195e-02 -2.280304227872303677e-02 1.024593618033058373e+00 -3.143016562230564137e+00 -3.018692263623276695e+00 -2.728119487538977150e+00 -1.701418394985817484e-01 6.754456093312732889e-02 9.536099999999999577e-01 0.000000000000000000e+00 6.347723838947060271e-01 7.307299999999999907e-02 3.973682308303748412e-02 0.000000000000000000e+00 1.608700000000000060e-02 -1.699156008279344432e+00 -8.909950211398326436e-02 -2.649601556405883906e-01 5.444414102087270502e-01 1.658162999295233475e-01 1.134685945251942413e-01 9.128871120812226403e-01 -2.734165026272691090e+00 -3.000000000000000000e+00 -2.016522917195567866e-02 0.000000000000000000e+00 -3.542482028678339834e-02 3.579351635758077355e-01 -5.414560137300948206e+00 0.000000000000000000e+00 6.646196220150069056e-01 8.143760904299662684e+01 1.330699999999999938e-01 5.283500636909917780e+00 0.000000000000000000e+00 2.889208932314775602e+00 1.614099999999999910e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.531957695023153931e+00 1.541629779647194276e+01 3.417400000000000299e-02 1.003259861715986911e+00 0.000000000000000000e+00 2.159399999999999861e-02 -2.157692045247203261e+00 0.000000000000000000e+00 -2.030757956063169722e-01 0.000000000000000000e+00 8.836199999999999610e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.121801065288940247e-02 6.832200000000000495e-01 7.810599999999999765e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.283500636909917780e+00 6.395532650219500681e+00 0.000000000000000000e+00
-4.006962609759236876e-02 -4.300391044620637676e-02 1.980362128442512276e-02 1.028363775599244079e+00 -3.139409223795464943e+00 -3.116317334355007684e+00 -2.744631764250721861e+00 -9.471784304317074077e-02 7.020249059773957245e-02 9.526799999999999713e-01 0.000000000000000000e+00 6.002345373766453385e-01 8.071200000000000596e-02 3.930165540395726131e-02 0.000000000000000000e+00 1.866999999999999910e-02 -1.525008286766454058e+00 -8.684066946959344280e-02 -3.398836423201287427e-01 5.411619923517712039e-01 2.196822654345219894e-01 -5.760556833443147839e-02 1.223456825448657082e+00 -2.993930859935964861e+00 -3.000000000000000000e+00 -2.025685058941609218e-01 0.000000000000000000e+00 -3.357559846896451816e-02 3.270752096863840941e-01 -3.029934906749453649e+00 0.000000000000000000e+00 6.806829497287810726e-01 9.039439895437301686e+01 2.052900000000000003e-01 5.310058205128240338e+00 0.000000000000000000e+00 1.857706333857682912e+00 1.673900000000000041e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.585905790001124416e+00 1.508565084395013400e+01 1.487999999999999878e-01 1.029498103609444604e+00 0.000000000000000000e+00 2.544700000000000087e-02 -1.183716061012041409e+00 0.000000000000000000e+00 -2.033427273198563923e-01 0.000000000000000000e+00 9.883199999999999763e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.076739423723876266e-02 7.383699999999999708e-01 7.601700000000000124e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.310058205128240338e+00 6.455235914601369807e+00 0.000000000000000000e+00
-4.483125937236939057e-02 -6.394765727347935524e-02 -6.994421277625284539e-02 1.021925443786526388e+00 -3.161112418033382720e+00 -3.159332018203208303e+00 -2.786672710273685905e+00 -2.410772817309354832e-02 6.812860413480040234e-02 9.310000000000000497e-01 0.000000000000000000e+00 6.233389574302663494e-01 6.342000000000000415e-02 3.935714882663154945e-02 0.000000000000000000e+00 2.268699999999999883e-02 -1.815842690323915321e+00 -8.290578044784562006e-02 -3.711895832194297973e-01 5.400602357212335169e-01 2.007560440846974104e-01 3.143140869671368076e-02 9.675049243978766089e-01 -2.726706404727576860e+00 -3.000000000000000000e+00 9.369946049662487564e-01 0.000000000000000000e+00 -2.617104922422786029e-02 1.044309804240051154e+00 -4.333514135926382238e+00 0.000000000000000000e+00 6.915347083155782837e-01 7.488870906872035960e+01 1.055699999999999972e-01 5.379499059254553295e+00 0.000000000000000000e+00 2.505853843595179153e+00 1.659800000000000164e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.672508869773491558e+00 1.622283137974896405e+01 6.948999999999999622e-02 1.089690223073909392e+00 0.000000000000000000e+00 2.711999999999999827e-02 -1.334788277864930706e+00 0.000000000000000000e+00 -1.958802838336839158e-01 0.000000000000000000e+00 9.539400000000000102e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.093254830143944978e-02 7.877800000000000358e-01 8.745500000000000496e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.379499059254553295e+00 6.610736754719407138e+00 0.000000000000000000e+00
-3.150631650985933480e-02 -3.236189384064996205e-02 -4.016380540270769045e-02 1.036735354302295464e+00 -3.128691759111409620e+00 -3.119428332356049438e+00 -2.780435575897355349e+00 -1.866190672109003523e-01 6.899843654899133483e-02 9.156300000000000550e-01 0.000000000000000000e+00 6.073709124893277300e-01 6.737600000000000533e-02 3.886166399916145264e-02 0.000000000000000000e+00 1.844000000000000153e-02 -2.030512835757410706e+00 -8.390358532396384461e-02 -4.384567729908823708e-01 6.538516933991259661e-01 8.289753858329396152e-02 1.468510565741818763e-01 8.984532774095976837e-01 -2.654806209512292625e+00 -3.000000000000000000e+00 3.696696179664245574e-01 0.000000000000000000e+00 -2.338195667672227085e-02 6.618427005833097398e-01 -5.102154809264339619e+00 0.000000000000000000e+00 6.807221035133460552e-01 8.522596090682156955e+01 1.217300000000000049e-01 5.338325538165148210e+00 0.000000000000000000e+00 3.211888403326534913e+00 1.725399999999999850e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.769770320052796553e+00 1.555457618154414945e+01 3.608200000000000296e-02 1.053735552090689476e+00 0.000000000000000000e+00 2.502100000000000157e-02 -1.191235246336844078e+00 0.000000000000000000e+00 -1.934640630661808580e-01 0.000000000000000000e+00 9.926000000000000378e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.055691423898482528e-02 7.906300000000000550e-01 8.551499999999999657e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.338325538165148210e+00 6.504186755609765669e+00 0.000000000000000000e+00
-2.795426062554902391e-02 -1.536464437324207982e-02 -1.867684802101971311e-02 1.035575114701572597e+00 -3.104587046086609625e+00 -3.078206005195603279e+00 -2.712181885295810613e+00 -9.709806314098344548e-02 6.790388564568826391e-02 6.659399999999999764e-01 0.000000000000000000e+00 6.071420108543604810e-01 9.761699999999999544e-02 3.908239742648858539e-02 0.000000000000000000e+00 2.144899999999999932e-02 -1.673672758469947119e+00 -8.433400902607629535e-02 -2.808444365593071312e-01 5.891054514146821797e-01 1.402817574499264919e-01 7.956329440230908157e-02 9.623544606602336682e-01 -2.745599543686357169e+00 -3.000000000000000000e+00 8.474463097873913275e-02 0.000000000000000000e+00 -2.565553478154891653e-02 6.223489728367593843e-01 -4.847202232075749073e+00 0.000000000000000000e+00 6.767746340109271896e-01 8.787476281235366571e+01 1.038200000000000060e-02 5.259973684213058220e+00 0.000000000000000000e+00 2.681840493358282895e+00 1.028399999999999974e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.522799350737017221e+00 1.539162732143737955e+01 5.902099999999999708e-02 1.146364610424786656e+00 0.000000000000000000e+00 1.734700000000000131e-02 -1.876663484036691143e+00 0.000000000000000000e+00 -1.972660841547912713e-01 0.000000000000000000e+00 8.610900000000000221e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.032881115298913521e-02 7.656399999999999872e-01 7.596800000000000219e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.259973684213058220e+00 6.368232634689848126e+00 0.000000000000000000e+00
-5.094579205040027092e-02 -7.373504070431756430e-02 -1.115350746947215976e-01 1.016780472827828685e+00 -3.064416915686095422e+00 -3.060363810231656601e+00 -2.683413905684790990e+00 -1.707460934226527893e-01 6.850934557474809561e-02 8.100899999999999768e-01 0.000000000000000000e+00 6.397442354704240275e-01 1.062499999999999972e-01 3.872713196597071111e-02 0.000000000000000000e+00 1.926800000000000040e-02 -1.374242505788203284e+00 -8.665195334351215306e-02 -1.143376592282466797e-01 3.977662934698728003e-01 2.747730131740733772e-01 -2.078265639486875926e-02 1.024253375985717307e+00 -2.714097857354760279e+00 -3.000000000000000000e+00 7.959782884950385995e-01 0.000000000000000000e+00 -2.720339679170413749e-02 5.817937337608243276e-01 -4.578668594611015941e+00 0.000000000000000000e+00 6.693443628739339513e-01 6.862012476016406026e+01 1.569600000000000162e-02 5.413266228718403461e+00 0.000000000000000000e+00 2.164181365717270822e+00 1.352300000000000030e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.298862388639257182e+00 1.663573513758981193e+01 3.898800000000000182e-02 1.027366100659379500e+00 0.000000000000000000e+00 2.223199999999999829e-02 -8.760158677573056663e-01 0.000000000000000000e+00 -1.993069090748219307e-01 0.000000000000000000e+00 7.105200000000000404e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.992046975527762609e-02 7.900500000000000300e-01 9.929299999999999793e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.413266228718403461e+00 6.681150448647086293e+00 0.000000000000000000e+00
-4.863165725515250504e-02 -2.415164320292242234e-02 -3.762778536967829185e-04 1.026566959206845597e+00 -3.186204805230191450e+00 -3.099145116425305879e+00 -2.701494653048112315e+00 -3.997158990838856063e-03 6.675989180034926085e-02 9.611100000000000199e-01 0.000000000000000000e+00 6.107339516451948391e-01 6.864900000000000169e-02 3.916870613095119885e-02 0.000000000000000000e+00 2.136800000000000158e-02 -1.249306645448493125e+00 -8.599347536034974981e-02 -4.002090478083905611e-02 3.677840894389613480e-01 2.959744702155296947e-01 -9.605937048741797213e-03 9.861804178800119836e-01 -2.804078767199593258e+00 -3.000000000000000000e+00 3.464473627775743747e-02 0.000000000000000000e+00 -3.072088693078134369e-02 8.653695102719124455e-01 -4.622689780196639120e+00 0.000000000000000000e+00 6.785468312169703475e-01 7.615856120089175363e+01 1.997299999999999909e-01 5.346818158214437844e+00 0.000000000000000000e+00 2.185925744519564340e+00 9.641000000000000264e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.230797346953853122e+00 1.537611030452025673e+01 3.097000000000000100e-02 9.207825419497880359e-01 0.000000000000000000e+00 1.899400000000000047e-02 -2.090011857771936654e+00 0.000000000000000000e+00 -1.978037935868384167e-01 0.000000000000000000e+00 9.175699999999999967e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.036567561470855936e-02 7.188700000000000090e-01 7.998899999999999899e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.346818158214437844e+00 6.444430198179219360e+00 0.000000000000000000e+00
-3.302405747183123630e-02 -2.743637520861893359e-02 -3.418046257922401077e-02 1.011321838469979362e+00 -3.128929134586064364e+00 -3.115671202382081617e+00 -2.728115434205522938e+00 -1.117257451688079134e-01 6.925266164261059676e-02 9.408600000000000296e-01 0.000000000000000000e+00 6.032144072082009645e-01 5.934699999999999698e-02 3.868145526010442758e-02 0.000000000000000000e+00 1.214800000000000081e-02 -1.563689211896980291e+00 -8.543189030560825736e-02 -2.838691134842128982e-01 5.338432622611783973e-01 2.101401321214495244e-01 -3.051301154615243538e-03 1.109128817316838767e+00 -2.879847895026736548e+00 -3.000000000000000000e+00 5.767843375799937000e-01 0.000000000000000000e+00 -3.322095146368153618e-02 4.820118125552168564e-01 -3.533915940727869742e+00 0.000000000000000000e+00 6.851159782745082083e-01 7.802643642154966130e+01 1.375599999999999878e-01 5.335712611332516175e+00 0.000000000000000000e+00 2.164273029405533677e+00 1.581700000000000120e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.521570663053062988e+00 1.568746940946102164e+01 3.011700000000000141e-02 1.028511688054554840e+00 0.000000000000000000e+00 2.338700000000000154e-02 -2.216962475377458830e+00 0.000000000000000000e+00 -2.009423734888994839e-01 0.000000000000000000e+00 9.430199999999999694e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.115676123733327196e-02 6.565999999999999615e-01 7.873599999999999488e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.335712611332516175e+00 6.496040433951865367e+00 0.000000000000000000e+00
-1.612421685198463239e-02 -1.842302182484849282e-02 -5.408641153865366424e-02 1.029577872898030932e+00 -3.116247858415766459e+00 -3.063421343696659527e+00 -2.793334734229333982e+00 -5.525582734145063901e-02 7.085323835059187392e-02 9.274099999999999566e-01 0.000000000000000000e+00 6.377329167909611130e-01 6.673199999999999965e-02 3.876691825493653459e-02 0.000000000000000000e+00 2.508200000000000013e-02 -1.982066560934390154e+00 -7.932130787120662829e-02 -4.127841195054333112e-01 5.457743749975979553e-01 2.454931789845156143e-01 -1.413590028690068223e-01 1.257075865783544577e+00 -2.960378626094604115e+00 -3.000000000000000000e+00 2.509382249346036042e-01 0.000000000000000000e+00 -2.195684763883598567e-02 8.543936269740535216e-01 -4.665622116390958141e+00 0.000000000000000000e+00 6.927302719082921723e-01 7.906352291846823732e+01 1.652500000000000080e-01 5.290799905218537269e+00 0.000000000000000000e+00 3.081369931322250899e+00 1.304499999999999930e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.718952199819397064e+00 1.583667350955223974e+01 1.631200000000000011e-02 1.044762090803896815e+00 0.000000000000000000e+00 1.872899999999999912e-02 -1.503098560095276426e+00 0.000000000000000000e+00 -1.995708646986031898e-01 0.000000000000000000e+00 8.250699999999999701e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.144391010040936962e-02 7.516599999999999948e-01 6.793599999999999639e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.290799905218537269e+00 6.447398136635232646e+00 0.000000000000000000e+00
-4.021235580288432671e-02 -5.381075624548595226e-02 -5.421259465375292269e-02 1.034718393717018570e+00 -3.113547079323275568e+00 -3.079567459192553702e+00 -2.679082845004803648e+00 -9.867886445830681419e-02 7.124701649019804517e-02 8.317499999999999893e-01 0.000000000000000000e+00 6.607781919727411246e-01 9.729200000000000348e-02 3.913487758132539601e-02 0.000000000000000000e+00 2.303399999999999892e-02 -2.070397301035005189e+00 -8.463668589551047450e-02 -2.383142937690339302e-01 3.737267085117491616e-01 3.980381236122210731e-01 -2.768309475151425336e-01 1.474693734809283674e+00 -3.216632399294630407e+00 -3.000000000000000000e+00 4.805241218091519384e-01 0.000000000000000000e+00 -2.855951968704695254e-02 5.923009362379233478e-01 -5.251976848615305116e+00 0.000000000000000000e+00 6.662565204717294520e-01 7.981121315264745419e+01 6.304999999999999494e-02 5.320792163132044728e+00 0.000000000000000000e+00 3.309865746343276349e+00 8.353299999999999267e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.637891919881790947e+00 1.583629356568791913e+01 1.806599999999999873e-02 1.086191155263918962e+00 0.000000000000000000e+00 1.877900000000000055e-02 -1.585894669800638868e+00 0.000000000000000000e+00 -1.964715933132038517e-01 0.000000000000000000e+00 9.008300000000000196e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.090039911940428985e-02 8.094099999999999628e-01 8.879700000000000371e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.320792163132044728e+00 6.514862362788378825e+00 0.000000000000000000e+00
