# z shallow deep
0.10 31.92 17.80
0.11 30.24 18.21
0.12 28.45 18.63
0.13 26.67 18.03
0.14 24.88 17.42
0.15 23.09 16.82
0.16 21.73 16.21
0.17 20.45 15.76
0.18 19.17 15.83
0.19 17.89 15.90
0.20 17.23 15.88
0.21 16.83 15.52
0.22 16.43 15.10
0.23 16.02 14.33
0.24 15.55 13.77
0.25 14.90 13.73
0.26 14.60 13.70
0.27 14.64 13.66
0.28 14.58 13.56
0.29 14.19 12.92
0.30 13.86 12.28
0.31 13.53 12.03
0.32 13.28 11.80
0.33 13.25 11.56
0.34 13.21 11.32
0.35 13.18 11.08
0.36 12.94 10.84
0.37 12.66 10.48
0.38 12.37 10.11
0.39 12.09 9.80
0.40 12.37 9.91
0.41 12.65 9.90
0.42 12.56 9.72
0.43 12.48 9.63
0.44 12.42 9.55
0.45 12.38 9.47
0.46 12.43 9.43
0.47 12.51 9.41
0.48 12.60 9.40
0.49 12.69 9.52
0.50 12.77 9.65
0.51 12.85 9.74
0.52 12.90 9.75
0.53 12.94 9.75
0.54 12.99 9.65
0.55 12.87 9.56
0.56 12.72 9.74
0.57 12.63 9.98
0.58 12.66 10.01
0.59 12.76 10.11
0.60 12.92 10.29
0.61 13.24 10.45
0.62 13.49 10.49
0.63 13.67 10.52
0.64 13.85 10.56
0.65 13.73 10.56
0.66 13.62 10.52
0.67 13.50 10.48
0.68 13.84 10.45
0.69 14.18 10.49
0.70 14.48 10.53
0.71 14.70 10.51
0.72 14.92 10.38
0.73 14.72 10.26
0.74 14.45 10.21
0.75 14.61 10.15
0.76 14.77 10.11
0.77 14.84 10.07
0.78 14.73 10.02
0.79 14.62 9.96
0.80 14.51 9.88
0.81 14.43 9.69
0.82 14.35 9.50
0.83 14.27 9.32
0.84 14.22 9.16
0.85 14.19 9.04
0.86 14.10 8.95
0.87 13.81 8.86
0.88 13.51 8.78
0.89 13.25 8.70
0.90 13.08 8.63
0.91 12.94 8.56
0.92 12.82 8.43
0.93 12.66 8.71
0.94 12.83 8.68
0.95 12.78 8.47
0.96 12.73 8.46
0.97 12.67 8.54
0.98 12.62 8.62
0.99 12.81 8.73
1.00 13.09 8.87
1.01 13.36 9.01
1.02 13.64 9.15
1.03 13.92 9.29
1.04 14.19 9.80
1.05 14.90 10.50
1.06 16.23 11.27
1.07 16.63 12.04
1.08 17.02 12.48
1.09 19.61 12.87
1.10 21.03 13.42
1.11 24.74 16.50
1.12 24.69 16.40
1.13 24.65 16.29
1.14 24.52 16.19
1.15 24.19 16.08
1.16 23.85 15.99
1.17 23.51 15.90
1.18 23.18 15.81
1.19 22.84 15.72
1.20 22.35 15.63
1.21 21.80 15.55
1.22 21.25 15.46
1.23 20.88 15.37
1.24 20.81 15.27
1.25 20.74 15.16
1.26 20.66 15.06
1.27 20.59 14.96
1.28 20.52 14.80
1.29 21.08 14.57
1.30 21.76 14.34
1.31 21.97 14.11
1.32 21.88 13.88
1.33 21.78 14.64
1.34 21.69 14.53
1.35 21.59 14.41
1.36 21.50 14.30
1.37 21.41 14.19
1.38 21.31 14.05
1.39 21.22 13.88
1.40 21.06 13.71
1.41 20.89 13.54
1.42 20.71 13.37
1.43 20.54 13.42
1.44 20.39 13.47
1.45 20.33 13.52
1.46 20.27 13.58
1.47 20.21 13.63
1.48 20.15 13.59
1.49 20.28 13.42
1.50 20.44 13.25
1.51 20.61 13.07
1.52 20.97 12.90
1.53 21.50 12.83
1.54 22.04 12.76
1.55 22.32 12.68
1.56 21.42 12.61
1.57 20.54 12.54
1.58 19.68 12.52
1.59 18.82 12.55
1.60 18.43 12.58
1.61 18.19 12.62
1.62 17.96 12.65
1.63 17.73 12.69
1.64 17.49 12.72
1.65 17.45 12.75
1.66 18.24 12.79
1.67 19.02 12.82
1.68 19.31 12.89
1.69 19.58 12.99
1.70 19.86 13.07
1.71 20.14 13.04
1.72 20.41 13.01
1.73 20.69 12.98
1.74 20.83 12.95
1.75 20.66 12.92
1.76 20.49 12.90
1.77 20.32 12.87
1.78 20.15 12.84
1.79 19.98 12.79
