# NO FIELD GAMMA SIG_GAMMA NOMINAL_AREA SPT_MASK_AREA MCMF_MASK_AREA AREA XI_MIN DELTA_CSZ LAMBDA_MIN
1 ra1hdec-25_sptpol_MCMF 0.6869 0.005878 264.2 254.1 202.5 202.50 5.0 -.09 shallow
2 ra1hdec-35_sptpol_MCMF 0.7941 0.00606 244.6 236.4 230.6 230.60 5.0 -.09 shallow
3 ra23hdec-35_sptpol_MCMF 0.8043 0.006106 237.5 226.7 10.06 10.06 5.0 -.09 shallow
5 ra5hdec-25_sptpol_MCMF 0.8542 0.005933 270.5 258.6 251.6 251.60 5.0 -.09 shallow
6 ra5hdec-35_sptpol_MCMF 0.8772 0.006103 248.9 236.7 233.6 233.60 5.0 -.09 shallow
7 ra3hdec-25_sptpol_MCMF 0.8958 0.005866 272.6 258.2 255.8 255.80 5.0 -.09 shallow
9 ra3hdec-35_sptpol_MCMF 1.037 0.006074 252.2 239.1 237.4 237.40 5.0 -.09 shallow
10 ra21hdec-50_MCMF 1.088 0.009835 186.6 175.1 156.1 156.10 4.5 0. shallow
11 ra5h30dec-45_MCMF 1.148 0.009632 105.5 98.81 97.42 97.42 4.5 0. shallow
12 ra21hdec-42.5_MCMF 1.149 0.009894 117.3 110.8 86.44 86.44 4.5 0. shallow
13 ra22h30dec-55_MCMF 1.158 0.01092 0.5639 0.5411 0.5364 0.54 4.5 0. shallow
14 ra0h50dec-50_MCMF 1.165 0.00794 78.63 73.8 73.1 73.10 4.5 0. shallow
15 ra6hdec-62.5_MCMF 1.17 0.01285 67.53 63.22 20.85 20.85 4.5 0. shallow
16 ra6h30dec-45_MCMF 1.177 0.009608 106.0 100.2 40.41 40.41 4.5 0. shallow
18 ra23hdec-45_MCMF 1.18 0.00691 211.5 197.3 193.3 193.30 4.5 0. shallow
19 ra6h30dec-55_MCMF 1.184 0.01076 87.13 81.5 40.26 40.26 4.5 0. shallow
20 ra1hdec-42.5_MCMF 1.19 0.009779 115.4 107.2 106.3 106.30 4.5 0. shallow
21 ra1hdec-60_MCMF 1.192 0.008117 1.287 1.199 1.174 1.17 4.5 0. shallow
22 ra3h30dec-42.5_MCMF 1.197 0.007634 167.4 158.8 157.4 157.40 4.5 0. shallow
23 ra2h30dec-50_MCMF 1.201 0.007951 146.3 136.3 135.4 135.40 4.5 0. shallow
24 ra3h30dec-60_MCMF 1.232 0.006539 232.9 216.9 209.9 209.90 4.5 0. shallow
25 ra21hdec-60_MCMF 1.261 0.008294 157.9 145.4 133.7 133.70 4.5 0. shallow
26 ra4h10dec-50_MCMF 1.275 0.008147 167.4 155.5 154.2 154.20 4.5 0. shallow
27 ra5h30dec-55_2year_MCMF 1.29 0.01086 89.58 82.87 81.83 81.83 4.5 0. shallow
28 ra23h30dec-55_2year_MCMF 1.342 0.009835 0.6581 0.6006 0.6006 0.60 4.5 0. shallow
29 sptpol_500d_MCMF 2.227 0.00896 497.7 460.1 456.8 456.80 4.25 .26 deep
