# FIELD AREA ALPHA BETA GAMMA
ra0h50dec-50 156.243 20.76 5.11 1.1357954
ra1hdec-42.5 108.625 18.41 5.55 1.1916442
ra1hdec-60 145.888 17.25 4.38 1.1754438
ra21hdec-42.5 111.217 17.11 4.49 1.1490106
ra21hdec-50 189.955 25.28 4.14 1.1095432
ra21hdec-60 147.589 25.64 4.07 1.2923182
ra22h30dec-55 83.6339 16.45 5.23 1.1307591
ra23h30dec-55 100.241 17.58 4.03 1.3875717
ra23hdec-45 204.453 17.0 5.2 1.1864938
ra23hdec-62.5 70.4952 14.9 4.92 1.1762851
ra2h30dec-50 155.731 14.98 4.78 1.1901025
ra3h30dec-42.5 166.812 16.85 4.31 1.1999745
ra3h30dec-60 222.647 20.53 4.7 1.2479916
ra4h10dec-50 155.547 16.75 5.48 1.2668965
ra5h30dec-45 102.657 15.91 4.81 1.079883
ra5h30dec-55 82.8711 16.79 4.6 1.3267815
ra6h30dec-45 102.832 14.78 4.23 1.1629247
ra6h30dec-55 83.2849 17.77 4.58 1.1631297
ra6hdec-62.5 68.6716 16.53 4.7 1.1823912
