# offset offset_z sigma_0 sigma_z logc Blambda corr_len A_0 A_1 A_2 A_3 A_4 A_5 A_6 A_7 A_8 A_9 A_10 A_inf
1.079511535520035204e-01 -1.506573778670775576e-01 1.668434597812440690e-01 1.652382994360946933e-01 -4.784658060620006204e-02 5.562699902988006428e-01 9.708030919990218166e-02 -7.927558475378386760e-01 -1.233790461471375721e+00 1.443923511292829254e+00 -3.213785446014529867e-01 -1.279115230392889657e+00 -1.901663242678495180e-01 1.710565982208996694e+00 -6.142938803339630383e-01 -1.214408556821854113e+00 1.475905999342932873e+00 2.453901958414228091e+00 -2.397890887813409755e+00
1.158579459573546022e-01 -1.755934383329035287e-01 1.707508649012727531e-01 1.662571194468549507e-01 -1.100499795527726254e-01 3.785037317428776582e-01 9.090799202398280876e-02 1.103215155698961780e+00 -4.236426889748576841e-01 7.936278012132902404e-01 2.023452471892932536e+00 -1.918917547944163804e+00 1.182118925498420126e+00 1.840496446342693382e+00 4.230716187374197190e-01 -5.285261090095669800e-01 3.412505533771806654e+00 2.018534856065519634e+00 -4.232441861562199925e+00
1.116758124059374635e-01 -1.647058828686888132e-01 1.734581956143903814e-01 1.987428200493129848e-01 -1.833611217804008708e-01 4.327725535023230208e-01 8.203703954795316111e-02 9.576652097353477444e-02 -1.670361505559041060e+00 1.124276540751419695e+00 -7.550649070583554945e-01 -8.625292902051784338e-01 -6.828449022570728388e-01 1.332911871023845229e+00 -6.065494640748152477e-01 -6.134631503492364857e-01 1.245780945165132714e+00 1.468860749845349645e+00 -2.010448150427948111e+00
1.102593148372452703e-01 -1.661200123392512773e-01 1.697142282132664826e-01 1.774849738632269247e-01 -1.039387287576263308e-01 5.315469886580665992e-01 8.800882100195533964e-02 1.000061554491864513e-01 -2.119117858765449114e-01 1.201308503341690148e+00 7.474211714498615322e-01 -1.181874690061395228e+00 5.435529718723639547e-01 1.661544053364640838e+00 5.240115222790722171e-01 -1.945800961204202650e-02 1.245486055344768417e+00 2.365556895796563808e+00 -3.883960609275172615e+00
1.298480803732350308e-01 -1.928439099912744314e-01 1.819873576387684988e-01 1.750008788802333015e-01 -1.835964562125982358e-01 5.283962334998357768e-01 8.542582681565137614e-02 1.737043264669551057e+00 -5.352662727235726337e-01 1.644869668978879318e+00 1.220621378294389103e+00 -5.142488143553789470e-01 1.451068681416471939e+00 1.624165889965096810e+00 1.173513244476557915e+00 2.601712497162349536e-01 2.748544121476580671e+00 2.448745261142466489e+00 -4.922159389512547278e+00
1.232967542354974910e-01 -2.020147772846985212e-01 1.746777296758195985e-01 1.635378977147129431e-01 -5.243234811297892151e-02 4.718391047391419235e-01 9.004357929791646786e-02 -3.048461980645837954e-01 -6.946301169026449784e-01 1.533082374248594171e+00 -5.060077172626176178e-02 -1.149676401585816965e+00 6.172096142254313023e-01 1.606868618385600911e+00 5.635703002740299894e-03 -6.270369423642545570e-01 1.634161619557515266e+00 3.219541997097683961e+00 -3.213708110594770240e+00
1.169401511071943012e-01 -1.826012922726288346e-01 1.800013130566071040e-01 1.455480622368987564e-01 -7.266130971495410318e-02 4.197996669918184764e-01 7.843044750635029538e-02 -6.503798296725733508e-01 -1.302100650912629831e-01 -3.329393211771130012e-01 9.614906563755099000e-01 -1.766741187729532925e+00 -1.794823124021149852e-01 1.637704294976720654e+00 -1.068850159439078684e+00 4.359574404684529725e-01 6.673332938067231268e-01 3.396237219121253759e+00 -2.452233428224126488e+00
1.104202350175088054e-01 -1.787251259693176109e-01 1.754300749631079459e-01 1.726577919017985296e-01 -5.732140066218049945e-02 6.194798281310354149e-01 8.085369610672597795e-02 1.579675393384736282e-01 -9.387637444730598801e-01 2.468016887296897721e-01 1.065287321929682562e+00 -2.259451545625198676e+00 6.052578979497287293e-01 1.441062698492605598e+00 -3.781392145512647573e-01 -3.970594898731798494e-01 1.966295590902145562e+00 2.131248649582073718e+00 -2.759943294627971166e+00
1.311489839621468589e-01 -2.162966938306725706e-01 1.826806707073844460e-01 1.439588689302663260e-01 -2.028071634698623837e-01 5.039238108353600865e-01 8.126171973868533127e-02 6.368379282278189280e-01 -4.761627371929746388e-01 3.647772018479624734e-01 1.668861281329922619e+00 -2.530023581587045545e+00 1.675355820591559741e+00 9.083832138155081282e-01 6.793652927055031654e-01 -1.022412095711275892e+00 2.717116740405782771e+00 1.951455796943795562e+00 -3.298235374762513938e+00
1.123891665512546933e-01 -1.572374308169267043e-01 1.703401964458925999e-01 1.753937575515762681e-01 -2.050759661942160861e-01 5.146341466503763229e-01 8.443944868593997177e-02 3.554918051598221496e-01 -8.160101697998198844e-01 7.667386791538017832e-01 1.143982647647844075e+00 -1.809911744233169806e+00 -2.926253901311861583e-01 3.051302902406909823e+00 -1.268052682581549018e+00 3.924906561674470495e-01 1.818504831184577952e+00 2.069696311569277469e+00 -3.288028503477192999e+00
