# alpha_SZ_0 SZ_comp0_0 SZ_comp1_0 kappa_SPT alpha_opt_0 opt_comp0_0 opt_comp1_0 alpha_SZ_z alpha_SZ_lam SZ_comp0_z SZ_comp0_lam SZ_comp1_z SZ_comp1_lam alpha_opt_z alpha_opt_lam opt_comp0_z opt_comp0_lam opt_comp1_z opt_comp1_lam alpha_X_0 alpha_X_z alpha_X_lam X_comp0_0 X_comp0_z X_comp0_lam X_comp1_0 X_comp1_z X_comp1_lam
7.0293e-01 1.5470e-02 1.2366e-01 4.8132e-01 9.9477e-01 6.7998e-03 1.0938e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.0076e-01 3.8106e-03 1.2173e-01 1.2715e+00 9.5465e-01 2.0148e-02 1.0266e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.3046e-01 1.8736e-02 1.5723e-01 6.7383e-01 9.8056e-01 3.5574e-04 7.1176e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.4512e-01 1.2571e-02 1.1134e-01 1.2908e+00 9.3210e-01 1.0588e-02 1.3525e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.6057e-01 1.5619e-02 9.0825e-02 6.7766e-01 8.7564e-01 2.5110e-02 1.2486e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6.4387e-01 1.5467e-02 1.5402e-02 5.9589e-01 8.2154e-01 1.5392e-02 1.4423e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.0294e-01 1.2229e-03 1.6154e-01 1.1754e+00 9.9342e-01 1.4535e-03 2.5143e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.4779e-01 5.8571e-03 1.4989e-01 6.7872e-01 6.1349e-01 2.2393e-02 1.6810e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7.2758e-01 3.4101e-03 1.1812e-01 3.6508e-01 9.9954e-01 1.8163e-02 2.5572e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7.1619e-01 2.5339e-03 4.0087e-02 9.7586e-01 9.0111e-01 7.7476e-03 1.9688e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.8026e-01 2.4255e-03 4.6209e-02 7.9966e-01 7.3814e-01 1.7628e-02 1.1005e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7.9937e-01 5.0401e-04 1.1640e-01 5.4577e-01 9.9935e-01 1.6936e-02 2.4916e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
