# weight tomobin2 tomobin3 tomobin4
12.0 296681.0 487237.0 1858643.0
16.0 483898.0 594915.0 1848541.0
20.0 573155.0 690194.0 1500856.0
24.0 549175.0 748616.0 1081323.0
28.0 597694.0 901906.0 835198.0
32.0 861287.0 1357806.0 701244.0
36.0 911848.0 1253509.0 362095.0
40.0 1375008.0 911008.0 165929.0
44.0 633215.0 465169.0 77795.0
48.0 519171.0 319324.0 36525.0
52.0 346846.0 167288.0 20148.0
56.0 380693.0 153564.0 8293.0
60.0 374252.0 96231.0 3624.0
64.0 260724.0 40578.0 1474.0
68.0 160052.0 14151.0 340.0
72.0 87453.0 3174.0 31.0
76.0 53166.0 4373.0 3.0
